,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
task_id,0,3,15,2,19,13,17,5,0,18,4,11,6,7,14,12,9,1,16,10,8
server_id,0,4,4,4,4,1,1,1,1,3,3,3,3,3,3,0,0,0,2,2,2
task_leastlocalratio,0,7,7,2,0,8,6,1,3,8,3,3,0,0,1,9,6,3,7,7,5
task_shortestLatancy,0,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
task_latency,0,11.56292781,12.03166466,17.36419497,19.75048572,10.0095279,13.27433883,18.35870856,16.55201876,11.10647226,16.14163138,16.33232083,19.56827726,19.66885877,18.77923647,9.084250335,13.71679976,16.8324607,12.22844396,12.44113508,14.79833952
task_fullmemory,0,1361,1658,1253,1789,1239,1451,1029,1396,1918,1046,1186,1234,1409,1819,1296,1687,1658,1223,1437,1853
task_localmemory,0,1148.285525,1321.15,330.2663705,44.63810498,1237.819493,975.8934363,168.8888894,481.338181,1705.778621,403.5853579,434.9867491,53.27458597,46.65779921,222.0568866,1414.918995,1059.929789,525.1512163,950.2219355,1086.005168,963.772896
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,task_id,server_id,task_leastlocalratio,task_shortestLatancy,task_latency,task_fullmemory,task_localmemory,,,,,,,,,,,,,,
1,3,4,7,10,11.56292781,1361,1148.285525,,,,,,,,,,,,,,
2,15,4,7,10,12.03166466,1658,1321.15,,,,,,,,,,,,,,
3,2,4,2,10,17.36419497,1253,330.2663705,,,,,,,,,,,,,,
4,19,4,0,10,19.75048572,1789,44.63810498,,,,,,,,,,,,,,
5,13,1,8,10,10.0095279,1239,1237.819493,,,,,,,,,,,,,,
6,17,1,6,10,13.27433883,1451,975.8934363,,,,,,,,,,,,,,
7,5,1,1,10,18.35870856,1029,168.8888894,,,,,,,,,,,,,,
8,0,1,3,10,16.55201876,1396,481.338181,,,,,,,,,,,,,,
9,18,3,8,10,11.10647226,1918,1705.778621,,,,,,,,,,,,,,
10,4,3,3,10,16.14163138,1046,403.5853579,,,,,,,,,,,,,,
11,11,3,3,10,16.33232083,1186,434.9867491,,,,,,,,,,,,,,
12,6,3,0,10,19.56827726,1234,53.27458597,,,,,,,,,,,,,,
13,7,3,0,10,19.66885877,1409,46.65779921,,,,,,,,,,,,,,
14,14,3,1,10,18.77923647,1819,222.0568866,,,,,,,,,,,,,,
15,12,0,9,10,9.084250335,1296,1414.918995,,,,,,,,,,,,,,
16,9,0,6,10,13.71679976,1687,1059.929789,,,,,,,,,,,,,,
17,1,0,3,10,16.8324607,1658,525.1512163,,,,,,,,,,,,,,
18,16,2,7,10,12.22844396,1223,950.2219355,,,,,,,,,,,,,,
19,10,2,7,10,12.44113508,1437,1086.005168,,,,,,,,,,,,,,
20,8,2,5,10,14.79833952,1853,963.772896,,,,,,,,,,,,,,
